gap_kj_mol,free_energy_kj_mol,probability,counts
-99375.0,,0.0,0
-98125.0,,0.0,0
-96875.0,,0.0,0
-95625.0,,0.0,0
-94375.0,,0.0,0
-93125.0,,0.0,0
-91875.0,,0.0,0
-90625.0,,0.0,0
-89375.0,,0.0,0
-88125.0,,0.0,0
-86875.0,,0.0,0
-85625.0,,0.0,0
-84375.0,,0.0,0
-83125.0,,0.0,0
-81875.0,,0.0,0
-80625.0,,0.0,0
-79375.0,,0.0,0
-78125.0,,0.0,0
-76875.0,,0.0,0
-75625.0,,0.0,0
-74375.0,,0.0,0
-73125.0,,0.0,0
-71875.0,,0.0,0
-70625.0,,0.0,0
-69375.0,,0.0,0
-68125.0,,0.0,0
-66875.0,,0.0,0
-65625.0,,0.0,0
-64375.0,,0.0,0
-63125.0,,0.0,0
-61875.0,,0.0,0
-60625.0,,0.0,0
-59375.0,,0.0,0
-58125.0,,0.0,0
-56875.0,,0.0,0
-55625.0,,0.0,0
-54375.0,,0.0,0
-53125.0,,0.0,0
-51875.0,,0.0,0
-50625.0,,0.0,0
-49375.0,,0.0,0
-48125.0,,0.0,0
-46875.0,,0.0,0
-45625.0,,0.0,0
-44375.0,,0.0,0
-43125.0,,0.0,0
-41875.0,,0.0,0
-40625.0,,0.0,0
-39375.0,,0.0,0
-38125.0,,0.0,0
-36875.0,,0.0,0
-35625.0,,0.0,0
-34375.0,,0.0,0
-33125.0,,0.0,0
-31875.0,,0.0,0
-30625.0,,0.0,0
-29375.0,,0.0,0
-28125.0,,0.0,0
-26875.0,,0.0,0
-25625.0,,0.0,0
-24375.0,,0.0,0
-23125.0,,0.0,0
-21875.0,,0.0,0
-20625.0,,0.0,0
-19375.0,,0.0,0
-18125.0,,0.0,0
-16875.0,,0.0,0
-15625.0,,0.0,0
-14375.0,,0.0,0
-13125.0,,0.0,0
-11875.0,,0.0,0
-10625.0,,0.0,0
-9375.0,,0.0,0
-8125.0,,0.0,0
-6875.0,,0.0,0
-5625.0,,0.0,0
-4375.0,,0.0,0
-3125.0,,0.0,0
-1875.0,,0.0,0
-625.0,,0.0,0
625.0,,0.0,0
1875.0,,0.0,0
3125.0,,0.0,0
4375.0,,0.0,0
5625.0,,0.0,0
6875.0,,0.0,0
8125.0,,0.0,0
9375.0,,0.0,1
10625.0,,0.0,2
11875.0,,0.0,0
13125.0,,0.0,1
14375.0,,0.0,0
15625.0,,0.0,2
16875.0,,0.0,0
18125.0,,0.0,0
19375.0,,0.0,1
20625.0,,0.0,5
21875.0,,0.0,7
23125.0,,0.0,3
24375.0,,0.0,6
25625.0,,0.0,4
26875.0,,0.0,8
28125.0,,0.0,7
29375.0,,0.0,7
30625.0,,0.0,7
31875.0,,0.0,1
33125.0,,0.0,0
34375.0,,0.0,0
35625.0,,0.0,0
36875.0,,0.0,0
38125.0,,0.0,1
39375.0,,0.0,1
40625.0,,0.0,2
41875.0,,0.0,2
43125.0,,0.0,4
44375.0,,0.0,4
45625.0,,0.0,6
46875.0,,0.0,6
48125.0,,0.0,11
49375.0,1579.4677007195726,9.697593413846015e-276,32
50625.0,933.4066993869347,2.976325109046098e-163,73
51875.0,481.9012877424009,1.219609739018464e-84,122
53125.0,269.2406883591303,1.297171585931811e-47,49
54375.0,92.7009164350923,7.090911043380738e-17,33
55625.0,9.657511189689616,0.02039675038639552,66
56875.0,0.0,0.9796032494904786,53
58125.0,56.86395870615079,1.2312573183215498e-10,32
59375.0,,0.0,17
60625.0,,0.0,9
61875.0,,0.0,2
63125.0,,0.0,3
64375.0,,0.0,5
65625.0,,0.0,4
66875.0,,0.0,3
68125.0,,0.0,2
69375.0,,0.0,1
70625.0,,0.0,5
71875.0,,0.0,2
73125.0,,0.0,1
74375.0,,0.0,3
75625.0,,0.0,0
76875.0,,0.0,1
78125.0,,0.0,1
79375.0,,0.0,1
80625.0,,0.0,0
81875.0,,0.0,0
83125.0,,0.0,0
84375.0,,0.0,0
85625.0,,0.0,0
86875.0,,0.0,0
88125.0,,0.0,0
89375.0,,0.0,1
90625.0,,0.0,0
91875.0,,0.0,0
93125.0,,0.0,0
94375.0,,0.0,0
95625.0,,0.0,0
96875.0,,0.0,1
98125.0,,0.0,0
99375.0,,0.0,1
100625.0,,0.0,0
101875.0,,0.0,0
103125.0,,0.0,1
104375.0,,0.0,0
105625.0,,0.0,0
106875.0,,0.0,0
108125.0,,0.0,0
109375.0,,0.0,0
110625.0,,0.0,0
111875.0,,0.0,0
113125.0,,0.0,0
114375.0,,0.0,0
115625.0,,0.0,1
116875.0,,0.0,0
118125.0,,0.0,1
119375.0,,0.0,0
120625.0,,0.0,0
121875.0,,0.0,0
123125.0,,0.0,0
124375.0,,0.0,1
125625.0,,0.0,1
126875.0,,0.0,0
128125.0,,0.0,0
129375.0,,0.0,0
130625.0,,0.0,0
131875.0,,0.0,0
133125.0,,0.0,0
134375.0,,0.0,0
135625.0,,0.0,0
136875.0,,0.0,0
138125.0,,0.0,0
139375.0,,0.0,0
140625.0,,0.0,0
141875.0,,0.0,0
143125.0,,0.0,1
144375.0,,0.0,0
145625.0,,0.0,0
146875.0,,0.0,0
148125.0,,0.0,0
149375.0,,0.0,0
150625.0,,0.0,1
151875.0,,0.0,0
153125.0,,0.0,0
154375.0,,0.0,0
155625.0,,0.0,0
156875.0,,0.0,0
158125.0,,0.0,0
159375.0,,0.0,0
160625.0,,0.0,0
161875.0,,0.0,0
163125.0,,0.0,0
164375.0,,0.0,0
165625.0,,0.0,0
166875.0,,0.0,1
168125.0,,0.0,0
169375.0,,0.0,0
170625.0,,0.0,0
171875.0,,0.0,1
173125.0,,0.0,0
174375.0,,0.0,0
175625.0,,0.0,0
176875.0,,0.0,0
178125.0,,0.0,0
179375.0,,0.0,0
180625.0,,0.0,0
181875.0,,0.0,0
183125.0,,0.0,0
184375.0,,0.0,0
185625.0,,0.0,0
186875.0,,0.0,0
188125.0,,0.0,0
189375.0,,0.0,0
190625.0,,0.0,0
191875.0,,0.0,0
193125.0,,0.0,0
194375.0,,0.0,0
195625.0,,0.0,0
196875.0,,0.0,0
198125.0,,0.0,0
199375.0,,0.0,0
200625.0,,0.0,0
201875.0,,0.0,0
203125.0,,0.0,0
204375.0,,0.0,0
205625.0,,0.0,0
206875.0,,0.0,0
208125.0,,0.0,0
209375.0,,0.0,0
210625.0,,0.0,0
211875.0,,0.0,0
213125.0,,0.0,0
214375.0,,0.0,0
215625.0,,0.0,0
216875.0,,0.0,0
218125.0,,0.0,0
219375.0,,0.0,0
220625.0,,0.0,0
221875.0,,0.0,0
223125.0,,0.0,0
224375.0,,0.0,0
225625.0,,0.0,0
226875.0,,0.0,0
228125.0,,0.0,0
229375.0,,0.0,0
230625.0,,0.0,0
231875.0,,0.0,0
233125.0,,0.0,0
234375.0,,0.0,0
235625.0,,0.0,0
236875.0,,0.0,0
238125.0,,0.0,0
239375.0,,0.0,0
240625.0,,0.0,0
241875.0,,0.0,0
243125.0,,0.0,0
244375.0,,0.0,0
245625.0,,0.0,0
246875.0,,0.0,0
248125.0,,0.0,0
249375.0,,0.0,0
250625.0,,0.0,0
251875.0,,0.0,0
253125.0,,0.0,0
254375.0,,0.0,0
255625.0,,0.0,0
256875.0,,0.0,0
258125.0,,0.0,0
259375.0,,0.0,0
260625.0,,0.0,0
261875.0,,0.0,0
263125.0,,0.0,0
264375.0,,0.0,0
265625.0,,0.0,0
266875.0,,0.0,0
268125.0,,0.0,0
269375.0,,0.0,0
270625.0,,0.0,0
271875.0,,0.0,0
273125.0,,0.0,0
274375.0,,0.0,0
275625.0,,0.0,0
276875.0,,0.0,0
278125.0,,0.0,0
279375.0,,0.0,0
280625.0,,0.0,0
281875.0,,0.0,0
283125.0,,0.0,0
284375.0,,0.0,0
285625.0,,0.0,0
286875.0,,0.0,0
288125.0,,0.0,0
289375.0,,0.0,0
290625.0,,0.0,0
291875.0,,0.0,0
293125.0,,0.0,0
294375.0,,0.0,0
295625.0,,0.0,0
